,Unnamed: 0,Census Tract,Total Population,California County,ZIP,Nearby City,Longitude,Latitude,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Poverty,Poverty Pctl,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
508,514,6037531101,5091,Los Angeles,90063,Los Angeles,-118.18850249999998,34.0360915,2259.7,93.19,56.52,6.96,86.05,53.1,60.34,68.3,91.9,76.13636364,1033.0,1.594155844,7.126642294,40417.0,3.78
509,515,6037602105,4273,Los Angeles,90250,Hawthorne,-118.3481425,33.9200581,998.5,67.59,54.42,6.7,82.6,78.54,83.89,60.3,84.65,83.80228137,1073.0,1.6790874519999999,8.33317582,45406.0,3.38
511,517,6001409200,3152,Alameda ,94603,Oakland,-122.1777872,37.7290846,4291.67,99.72,54.96,6.77,83.62,106.59,93.9,44.4,66.22,50.16251354,1301.0,2.02708559,5.211013175,46250.0,3.88
512,518,6037572900,5250,Los Angeles,90810,Long Beach,-118.2113097,33.793031899999995,1559.97,84.2,57.87,7.13,88.31,63.37,72.78,59.5,83.86,65.61264822,1057.0,1.7256917,7.336873217999999,40318.0,4.35
513,519,6037208402,2775,Los Angeles,90026,Los Angeles,-118.266009,34.06836679999999,2676.43,96.04,60.89,7.5,92.67,55.22,63.31,51.5,75.02,84.95024876,1066.0,1.5671641790000002,9.548576922999999,37457.0,3.62
515,521,6037132102,5310,Los Angeles,91406,Van Nuys,-118.497369,34.2020955,1031.55,69.17,59.74,7.36,91.15,74.19,81.54,36.1,54.0,49.44162437,1162.0,1.706598985,5.813571695,51939.0,2.66
521,527,6037127102,4726,Los Angeles,91405,Van Nuys,-118.4445253,34.2060073,1360.24,79.72,50.04,6.16,72.76,98.74,92.58,51.6,75.21,71.64473684,1178.0,1.556578947,7.158920974,43750.0,3.58
523,529,6037532605,3715,Los Angeles,90255,Huntington Park,-118.2251677,33.984241299999994,751.53,53.79,55.44,6.83,84.43,59.19,68.18,72.7,94.78,79.62798937,887.0,1.402125775,8.710695657,28815.0,3.6
524,530,6037232400,6957,Los Angeles,90062,Los Angeles,-118.3108346,33.9993836,947.94,65.02,50.32,6.2,73.53,108.95,94.55,67.9,91.57,54.73684211,1069.0,1.706315789,6.908707472000001,35266.0,3.73
531,537,6037209200,2785,Los Angeles,90017,Los Angeles,-118.2610818,34.0542091,2599.91,95.66,64.62,7.96,95.86,61.92,71.04,65.6,89.58,92.41176471,1597.0,1.100588235,16.73074725,37548.0,2.11
535,541,6037302002,3532,Los Angeles,91206,Glendale,-118.2505278,34.149168700000004,918.21,63.47,58.47,7.2,89.27,38.17,38.81,41.6,61.94,81.12543962,1209.0,1.1758499409999998,13.73122029,46638.0,2.32
536,542,6037535901,5757,Los Angeles,90280,South Gate,-118.194008,33.9462081,967.35,65.96,60.0,7.39,91.6,46.23,51.3,39.4,58.63,43.56087262,1131.0,2.0788177340000003,6.842635409,52551.0,4.02
537,543,6037575101,4754,Los Angeles,90804,Long Beach,-118.1623973,33.788130200000005,1159.87,73.96,50.84,6.26,74.6,86.41,87.86,56.5,80.7,78.21782178,1087.0,1.415841584,13.57466389,42119.0,3.16
538,544,6037228220,4389,Los Angeles,90011,Los Angeles,-118.2513193,34.0060455,774.88,55.31,54.48,6.71,82.75,63.52,73.07,73.7,95.46,69.58934517,990.0,1.3673695890000002,9.956537067000001,31542.0,4.72
