GEOID,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
6071000824,79.25333333,1069,1.5248,5.261730234,33750,2.67
6071000825,77.7100271,1190,1.372628726,6.274159557,39653,2.84
6071000826,45.0075643,1291,1.962934947,3.148810857,55640,3.2
6033000900,23.29348245,1409,2.075973776,0.108672758,55815,2.49
6031000900,64.85219899,836,1.35111752,2.830260715,31733,2.89
6057000900,30.06993007,938,2.083916084,0.004894888,52455,2.45
6103000900,33.95953757,828,1.86849711,0.020587814,40000,2.7
6107000900,46.89863843,802,1.948562784,0.044027725,38186,3.68
6077000900,56.78756477,957,1.736787565,2.623939634,37059,3.07
6023000900,23.52941176,1168,2.094117647,0.14422706,57009,2.43
6093000900,35.86369771,881,1.988529015,0.019551632,48829,2.38
6073000900,84.4295302,1175,1.327852349,19.39842356,50996,1.94
6039000900,59.70713274,774,1.650921115,2.240030778,31567,4.38
6053000900,72.42524917,1136,1.837209302,2.949540509,40217,4.46
6083000900,87.56692445,1153,1.207614515,3.886578863,36794,2.01
6111000901,41.33709981,1189,1.645951036,0.435279091,64125,2.28
6007000901,19.9195171,1420,2.011066398,0.242366308,84310,2.43
6019000901,64.82479784,805,1.5,1.536252845,25336,4
6047000901,51.26903553,594,2.337055838,0.005230097,45331,3.09
6071000901,66.88197299,1187,1.549031122,3.773468971,51715,2.43
6047000902,30.25018954,923,2.160727824,0.489978594,47581,3.69
6029000902,47.18030183,971,1.833200953,3.843864492,54813,2.86
6111000902,35.90062112,1330,2.085714286,0.062682818,71420,2.51
6019000902,76.26488095,542,1.219494048,2.760214539,20298,3.77
6111000903,41.66246851,1380,2.161712846,0.059737395,71987,2.68
6029000903,44.4924406,753,1.668826494,3.395230235,46823,2.79
6007000903,67.69230769,1009,1.654615385,1.774975099,46542,2.68
6071000903,81.34785568,1134,1.699115044,4.559829523,37220,2.88
6029000904,43.72948129,897,1.786605384,2.704138203,47583,2.93
6007000904,36.75110575,1223,1.915560917,2.306332665,69459,2.55
6071000904,65.42056075,1156,1.717077315,4.113855247,47545,2.78
6099000905,35.76607057,1120,1.79120348,3.41525507,74904,2.66
6029000905,36.46759848,793,1.828462516,2.474656873,55809,3
6099000906,31.4576872,1131,2.088170137,3.675498863,71661,2.85
6029000906,38.90701468,1078,2.156606852,3.767010078,48750,3.53
6099000907,23.42064715,976,1.890600924,2.705485752,72391,2.44
6029000907,38.51540616,1150,1.871148459,2.273597067,42188,3.84
6099000908,53.18158303,1127,1.683911019,4.156903408,51089,2.57
6029000908,34.23035522,1042,1.764800861,3.609100877,57267,2.85
6099000909,50.69444444,1055,1.697337963,4.072338351,43721,2.87
6029000909,12.87793953,1712,2.279955207,1.322445582,91845,2.7
6099000910,66.27021884,956,1.684110371,4.432214403,38370,2.92
6029000910,34.43605105,948,1.836936702,0.40529018,65848,2.82
6099000911,50.08347245,1121,1.729549249,5.44363118,51023,2.86
6099000912,30.53923263,1334,2.152609748,3.616600921,79863,3.1
6033001000,37.52711497,1025,2.071149675,0.063827865,43679,2.75
6093001000,37.05953827,946,1.849939247,0.032769409,38320,1.99
6103001000,18.64548495,785,2.02048495,0.054595111,46256,2.72
6019001000,58.82946519,853,1.493440969,0.819298028,25014,3.98
6077001000,47.04383282,888,1.640163099,2.327465741,42840,2.41
6039001000,38.57232311,825,2.163431434,0.017296388,54107,3.09
6007001000,72.23178428,852,1.586345382,2.851382515,32841,2.27
