,id,census_tract,total_population,county,zip,nearby_city,longitude,latitude,traffic,pollution_score,asthma,poverty,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
2361,2397,6095251500,3555,Solano ,94590,Vallejo,-122.2497147,38.111521,437.98,3.89,193.5,68.1,72.95081967,1075,1.604508197,4.30338748,36193,2.9
2362,2398,6075026403,4140,San Francisco,94134,San Francisco,-122.4069033,37.7111894,335.73,5.49,51.35,39.5,48.62036156,1338,1.451950523,11.2110028,66875,3.62
2363,2399,6031000403,5281,Kings ,93245,Lemoore,-119.778526,36.3207094,290.51,4.88,78.79,45.7,44.81419856,899,2.034387133,1.597306259,52792,3.01
2364,2400,6019004215,4475,Fresno ,93722,Fresno,-119.8992769,36.8306861,594.31,5.76,93.23,23.2,24.41281139,1431,2.002135231,2.107341004,70813,3.25
2365,2401,6067005505,4550,Sacramento ,95825,Sacramento,-121.4083506,38.6033897,818.25,4.53,122.56,67.7,77.4178621,781,1.227672374,4.456447523,30490,2.57
2366,2402,6073015801,3550,San Diego,92020,El Cajon,-116.9593301,32.796887,496.68,5.11,48.23,68.9,92.45003701,974,1.165803109,8.740943346,32823,2.53
2367,2403,6059074701,8346,Orange ,92704,Santa Ana,-117.8955125,33.730917,1319.95,5.38,45.2,61.1,39.00758098,1240,2.811853894,5.60165086,56090,5.77
2368,2404,6037900102,1029,Los Angeles,93535,Lancaster,-117.7517043,34.6825868,56.18,3.85,108.41,71.3,39.79591837,885,1.693877551,0.002700334,22500,2.26
2369,2405,6071008100,3182,San Bernardino,92373,Redlands,-117.1894607,34.0555603,459.58,6.26,42.15,47.5,80.46057223,985,1.371946964,3.123293965,42102,2.45
2370,2406,6037406411,2126,Los Angeles,91791,West Covina,-117.8997854,34.0696708,2838.78,6.47,39.95,24,22.15799615,1625,2.435452794,2.871029497,77404,4.02
2371,2407,6037555002,3475,Los Angeles,90715,Lakewood,-118.089263,33.8352186,1968.46,6.43,43.6,34.1,44.43405051,1484,1.895229186,4.885583438,67837,2.95
2372,2408,6001433300,6834,Alameda ,94579,San Leandro,-122.1574574,37.6985801,3572.45,6.47,66.75,28.2,22.58916777,1734,2.230295024,3.742675903,67034,3.29
2373,2409,6065051200,3403,Riverside ,92590,Temecula,-117.2137708,33.4881171,1094.7,6.41,31.21,33.2,64.2907058,893,1.873515024,0.090736371,60488,2.74
2374,2410,6037404501,2355,Los Angeles,91702,Azusa,-117.9220312,34.1109251,719.46,7.2,44.23,42.5,51.4516129,1326,2.066129032,3.116040933,50893,3.99
2375,2411,6081600200,4154,San Mateo,94014,Daly City,-122.4157229,37.704444,386.25,5.88,51.71,34.2,44.67532468,1519,1.892640693,4.033741659,67855,3.64
