id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,-0.385218228
,Los Angeles,Los Angeles,81.2,81.2,,,1.520072993,1.520072993,8.672040737,8.672040737,8.672040737,1045.66,1045.66,1045.66,79.03,79.03,79.03,
,Bakersfield,Bakersfield,72,72,,,1.595719382,1.595719382,1.423672482,1.423672482,1.423672482,619.55,619.55,619.55,89.83,89.83,89.83,
,Gardena,Gardena,40.7,40.7,,,1.810731707,1.810731707,3.211887787,3.211887787,3.211887787,2924.53,2924.53,2924.53,66.08,66.08,66.08,
,Paramount,Paramount,61.6,61.6,,,2.181606519,2.181606519,3.489791936,3.489791936,3.489791936,2498.36,2498.36,2498.36,61.93,61.93,61.93,
,Los Angeles,Los Angeles,64.8,64.8,,,1.734036646,1.734036646,6.427562632,6.427562632,6.427562632,954.09,954.09,954.09,73.75,73.75,73.75,
,Fresno,Fresno,75.4,75.4,,,1.485480268,1.485480268,4.156751964,4.156751964,4.156751964,413.74,413.74,413.74,119.15,119.15,119.15,
,Ontario,Ontario,51.1,51.1,,,2.024892704,2.024892704,3.619975852,3.619975852,3.619975852,3875.97,3875.97,3875.97,79.43,79.43,79.43,
,Modesto,Modesto,62.8,62.8,,,1.010158014,1.010158014,1.345451393,1.345451393,1.345451393,432.82,432.82,432.82,86.67,86.67,86.67,
,Los Angeles,Los Angeles,74.7,74.7,,,1.879297173,1.879297173,6.120728056,6.120728056,6.120728056,899.26,899.26,899.26,88.42,88.42,88.42,
,Los Angeles,Los Angeles,56.6,56.6,,,1.160087719,1.160087719,1.239326383,1.239326383,1.239326383,2962.46,2962.46,2962.46,96.21,96.21,96.21,
,Baldwin Park,Baldwin Park,63.5,63.5,,,1.990873533,1.990873533,2.511415389,2.511415389,2.511415389,3844.98,3844.98,3844.98,57.41,57.41,57.41,
,Los Angeles,Los Angeles,70,70,,,1.58915212,1.58915212,7.981918762,7.981918762,7.981918762,568.16,568.16,568.16,88.42,88.42,88.42,
,South Gate,South Gate,49.5,49.5,,,1.830985915,1.830985915,4.395225566,4.395225566,4.395225566,991.32,991.32,991.32,46.23,46.23,46.23,
,Fresno,Fresno,48.9,48.9,,,2.196374622,2.196374622,0.091257647,0.091257647,0.091257647,571.47,571.47,571.47,79.97,79.97,79.97,
